v_id,v_title,viewCount,likeCount,favoriteCount,commentCount
PAr0XyxqIjc,Airtel Nigeria - Network TVC,277403,28,0,4
9QOKJ0FGk90,Life Without Data,691465,1661,0,188
M0CXcBPQMOI,Airtel - &#39;Esther TVC&#39;,1703148,474,0,43
Xa8BPVG448M,Escapist - Airtel,954241,12,0,1
C-w5YolJ7Cg,How to Convert Airtime to Cash in Nigeria // Gosub.ng,2226,45,0,0
vnRvFGuHZAM,Ghost,1144379,396,0,149
WvqEtvpXghw,*444# Lyrics Video,1750349,3406,0,487
NVbFSjg8w9Y,Airtel NG Live Stream,205,0,0,1
E2AYKxIpud0,Airtel Home Broadband,154913,47,0,5
PtkjgFVGrrI,Airtel NG Live Stream,272,2,0,0
P6f2jQXeOVE,Know Your Size,2855575,309,0,64
9OjmwSy0_nQ,Airtel NG Live Stream,628,2,0,0
fubvJ5D0T8o,Life&#39;s Precious Moments - Live smartSPEEDOO,291131,802,0,116
FQilPP6N-Lo,"How To Start Data Selling Business For All Networks On Vtuking.ng Now ( MTN, Airtel, Glo, 9Mobile)",5672,71,0,15
u1wOedsXBtk,Port to Airtel - Tailor,1460006,263,0,20
hk5F8uLtSNg,"stark vpn, how to use stark vpn using airtel ng",0,0,0,0
1-xzdmgjgwI,Data for Every Pocket,1144082,61,0,13
kLV7Msngdt0,Airtel ng,33,6,0,
BdSHpCpvW8U,Airtel ng,5,1,0,0
eHzjsjYwr8g,See How AIRTEL.NG is SCAMMING NIGERIANS Data,15,2,0,0
HI4hLwSlbm0,get Airtel unlimited with http injector NG🇳🇬🇳🇬🇳🇬🇳🇬,957,14,0,6
UDCd9Gc-zG8,New free browsing VPN: for Airtel user #airtel #freebrowsing #freedata,283,5,0,10
2fjBsFarVPQ,Airtel SmartTALK- Boo,1970309,205,0,42
dfi2X1nHg-k,How to use Airtel NG BIS to browse on PC.,706,0,0,0
vB-6b0wfv54,Opera Mini Handler Settings For Airtel NG 0.0KB Free Internet Settings,928,12,0,2
a_KRsbeHBfk,How to upgrade your 500 data to unlimited Airtel ng,11,1,0,0
O2MUUlgJKhg,AIRTEL NG FREE BROWSING ⚡⚡ UNLIMITED(Link is in description),52,2,0,2
KwTgi0UKBkc,Airtel NG 0.0KB Free Browsing Using Opera Mini Handler,1037,7,0,12
kmFjgjXVjqY,Airtel NG,27,0,0,0
vrX6u3w29Qo,HOW TO BROWSE FOR FREE ON ANY AIRTEL NG NETWORK 2020 {USING HANDLER METHOD} 100% WORKING,32,1,0,0
3NbrBqRp-Bw,Airtel NG free Browsing on all apps,25,0,0,0
C6O7W7IxlRY,Data Is Life- Stew,2689884,646,0,0
6Ngs4lWkm2w,AIRTEL 4G  LE CLIP :j-rio/vicky/ng-bling,49232,438,0,36
Zuo2VEy9iNY,"how to get free MTN and Airtel airtime | make 100,000ugx airtim | how flashout work | non investment",1340,36,0,17
G8TVShlRshw,How to get 500 MB any day for Airtel NG,30,3,0,0
_WfaWFFsBv0,BREAKING NEWS!!! Comrade Lucky Orukpe On One Man Protest  to AIRTEL Ng..,1022,21,0,1
Fb79na6yffE,Latest Airtel NG 50mb Free Browsing Using Altaufik VPN,64,3,0,0
iYxle16Iksg,Airtel NG Unlimted free internet,3,0,0,0
5p1nv2AYCCU,Okunafuya Bobiwine nobutakola byayagala Museveni Alayide okujawo Airtel NeMtn Govt ye ekomezaawo UTL,4107,,0,20
ZrhAXuy2BhU,How to Get Free 1GB Data on Airtel NG and Vodafone GH 2020,176,7,0,1
gw7ZmoJTIfI,Yadda Zaku Samu Free 1GB Data A SIM Na Airtel NG,58,0,0,0
GuzazqDWE88,How to print recharge cards on rechargecard com ng portal,329,2,0,0
eL9PQXLP96o,Airtel free data code 2021,170922,4678,0,
SjW34DRUIH8,Fun and Games - Family Plan,2488,73,0,2
CT4F9tt1GBk,Airtel NG Free Unlimited Browsing Using 24Clan V2ray,85,3,0,3
hiyOq_Pjf1Y,Latest Airtel NG Unlimited Free Browsing Using 24clan V2ray VPN _2021,277,5,0,2
bdB7BtBk7Gw,Ethirneechal - Promo | 05 Nov 2022 | Sun TV Serial | Tamil Serial,1584086,20852,0,1124
amlEmRYzRYU,"Daily Digest with Jimi Disu, Thursday, 03/11/2022",1836,9,0,4
SL_Ing92yVk,"Daily Digest with Jimi Disu, Friday, 04/11/2022",2824,19,0,2
XclRETc8Sro,Onanay: Gang rape | Episode 53 (with English subtitles),13538133,17669,0,996
