,v_id,v_title,viewCount,likeCount,favoriteCount,commentCount
0,ZlldeI1URKw,"A DANCE TO FORGET - Latest 2022 Nollywood Romance Drama. Starring;  Frederick Leonard, Nancy Isime",24098,240,0,24
1,I3ZJbe6Kj4A,"BROKEN WALLS - Latest 2022 Nollywood Romance Drama. Starring;  Frederick Leonard, Ebere Nwizu",14862,181,0,24
2,VH57GGLAc7c,ATARODO- Bimbo Ademoye is a hilarious pepper seller /Mofe duncan / Jessica Blessing Obasi,1515246,15003,0,1146
3,J5Heey9lp5Y,"2ND FEBRUARY - Latest 2022 Nollywood Movie Drama. Starring; Yvonne Jegede, Uzor Arukwe, Roxy Antak",8728,83,0,2
4,WnPcQVAeiWY,SELINA - Nollywood Romantic Comedy starring Bimbo Ademoye and Daniel Etim Effiong,5022902,61651,0,4816
5,D9S-rMuXW2Q,"ERI IFE (PART 1) - Latest 2022 Yoruba Movie Starring; Mercy Aigbe, Fathia Balogun, Yinka Quadri",224292,1888,0,152
6,lhBwV9342Bs,"NEXT DOOR NEIGHBOUR -Latest 2022 Nollywood Movie Drama Starring Onyi Alex, Mofe Duncan, Mary Lazarus",2809,31,0,0
7,7LI0UOkUQfI,Frederick Leonard/Nazo Ekezie/Uzor Arukwe in Latest Nollywood Movie/ More Than a FLING,90501,974,0,218
8,IGuUC8j6vuQ,"TRUE COLORS - Latest 2022 Nollywood Movie Drama. Starring; Bolaji Ogunmola, Kachi Nnochiri",7770,66,0,0
9,QYqNXH1FCUE,Ini Edo/ Ray Emodi/ Onyi Alex in Love movie like never seen before,2051153,17378,0,1060
10,riOu2dftGPw,HIDDEN (FULL MOVIE) @IBAKATV,2297,16,0,3
11,p7cnVRqug8c,Best Friends Forever - Daniel effiong / Shine rosman /Racheal Anthony,314890,4939,0,521
12,9UlytCa0JUs,She Cheated on Her Husband with her Boss and this happened - (TRUE COLORS NIGERIAN FULL MOVIE 🎥).,8658,108,0,26
