v_id,v_title,viewCount,likeCount,favoriteCount,commentCount
pnUkGWZ-dPw,MTN Career Series | Episode 1,227,13,0,3
x2s5P3tccak,Official 5G launch | MTN Nigeria Communications Plc,2846,121,0,11
r-A9y8xR8w0,MTN Nigeria 5G Modem Review and Speed Test,13054,750,0,146
-f8P1PxbXVs,MTN NG Unlimited Data Cheat HA Tunnel VPN,304,9,0,2
yMg6R90-AlE,MTN Nigeria Communications Plc | 2022 Annual General Meeting,3337,136,0,17
_XCf16r64n0,Free MTN NG Unlimited Data using Stark VPN,233,5,0,0
XywKJDy9CYY,MTN mPulse Spelling Bee (Finale),1400,29,0,
noWCg5nyTfw,MTN mPulse Spelling Bee Grand Finale,4547,120,0,0
iEfveADgusc,Register for the MTN mPulse Spelling Bee Competition,133397,78,0,8
zH7eekbgqbE,How to buy 5gb 500 1gb 100 on MTN NG,107,7,0,2
F6SpeeCjqCo,HOW TO SET MTN NG UNLIMITED USING NAPSTERNETV WEBSOCKET METHOD OCTOBER 28 2022,163,4,0,1
7dNYjGCEnBE,Exclusive interview of The MTN Group CEO Ralph Mupita and MTN Nigeria’s CEO Karl Toriola on Arise TV,2277,54,0,3
z4jeiMSWvsI,"The MTN eSIM finally in West Africa - (Nigeria). What it’s about, where to get it and how to get it.",2311,83,0,33
KaChA3ClOug,FAST MTN APN SETTINGS 2022 for 5G/4G/3G | FAST INTERNET APN SETTINGS 2022,21108,447,0,78
cXEQkfxOiZ8,MTN 6GB FREE  2022 YADDA ZAKU SAMI FREE DATA A LAYIN MTN,1803,38,0,
bVk6Ol7bWdg,The Power of MTN 5G In Nigeria,185320,62,0,25
rgt5nJHxXUM,🔴 GET FREE Airtime on MTN and Airtel for free. Free Airtime App for All Networks [LIVE PROOF🔴],225945,3232,0,811
QrsOevKDCjE,How to Get MTN 1.2GB Data for ₦150 - MTN Data Cheat 2022 in Nigeria,1858,86,0,28
V_P7PO7ZLiU,How To Get Fast Internet Speed on MTN in Nigeria using APN,1979,60,0,22
Oxa7TLikS_U,"MTN 15GB DATA Bundle code: free mtn data bundle trick 2022, mtn data cheat,youtube,ghana,southafrica",72351,1135,0,0
6bH6y7oz4Pc,"Mtn Unlimited Data Cheat - Mtn Free Browsing 2022 In Nigeria, Ghana - Free Data Vpn",8208,333,0,70
8IxesRIRyb0,MTN Y&#39;elloPrenuer Entrepreneurial Skills Training Programme,630,26,0,8
CRP9O1WZ4k0,How to get Free 100GB Data On MTN In 2022 | MTN Free Data,32981,609,0,68
DWfC2x6wsfI,MTN 5G Review and Speed Test,6444,334,0,96
bhWT176Dcb0,Secret MTN Data App for Cheap Data in Nigeria,4959,82,0,13
TDEe3H-cbGA,MTN NG sabon comedy 😂,5738,216,0,2
dQvcx4B90bA,How to Get an MTN eSIM in Nigeria,7362,131,0,0
PPZtW7vQdWw,WHY YOU SHOULD NOT BUY MTN HYNET FLEX 4G/5G ROUTER IF YOU&#39;VE NOT SEEN THIS REVIEW!!!,6173,56,0,66
aJYXylHC_Eg,Is 5G in Nigeria REAL? - MTN 5G Router Review!,61598,2696,0,562
VPiDXHPaZ-4,MTN 5G - Everything You Need to Know | MissTechy,700,25,0,7
tVykvhQLgY0,"5 Sites or App to Print Recharge Card Pin in Nigeria|MTN, GLO AIRTEL, 9MOBILE[Buy Recharge Card Pin]",13664,178,0,30
NiSsXfyHM-g,MTN Broadband One Account | One Subscription for Multiple Offices,271,4,0,1
JSzGu5od2BU,MTN ICT &amp; Business Skills: Closing Ceremony,654,40,0,3
Loa6lraMFBY,How To Set Up Stark VPN For MTN NG Unlimited Internet 2019,7110,44,0,19
p_fyY8cLFs0,MTN Thank You Nigeria TVC 2011,33117,329,0,65
jAkBs3S5oTQ,MTN Nigeria Presents 2021 Annual Report To Shareholders,666,,0,
ZhOxMuF3V24,Five Easy Steps To Link Your NIN To Your MTN SIM,1085,8,0,0
TJXzwOpAjkU,First In Nigeria: MTN 5G Launch In Lagos | Highlights,500,4,0,1
RljzOsTc7jI,MTN FAST 4G LTE APN SETTINGS [MTN APN 2021 SETTINGS],31205,466,0,29
9Yhc90US3nY,The Truth about 5G in Nigeria &amp; MTN&#39;s New Logo,28932,1860,0,160
bct72efm4bE,MTN Valentine Special | Vox Pop,302,8,0,1
ucA-2ZTLLtk,"Get up to Free 50,000 Airtime (MTN, Airtel, Glo, 9Mobile) in Nigeria // Shareit lite tutorial",9199,246,0,34
GLOrOy7mWKo,I Tested 5G in Nigeria by MTN: So FAST but are we Ready?,19250,797,0,245
XUrW5x6Vo8E,"How To Transfer MTN Airtime , MTN Share And Sell",12547,186,0,38
aeS6Bdcgu9Y,MTN 4G LTE APN settings,122833,691,0,17
QUVdnzC19oU,MTN &quot;I don Port&quot; commercial feat. SAKA,232523,1058,0,232
h2YPn7maqrs,"#FoundersConnect: Adia Sowho, CMO of MTN Nigeria",13381,470,0,118
-KCxZi0Ro8E,How To Set Up The MTN 5G Broadband Router,883,18,0,2
u8zZ0P-yYiE,"MTN NIGERIA FREE INTERNET UNLIMITED LATEST USING HA TUNNEL AND HOW TO | 23, OCTOBER 2022",458,11,0,7
S8FFdbfV-TI,Spice Up Your Mobile Life with myMTN NG App,56,2,0,1
